oc1,oc2,appel_2nde,loisir_2nde,loisir_1ere,comment
AEROPORT CDG 2 TGV ROISSY,AGDE,25,116,162,
AEROPORT CDG 2 TGV ROISSY,AIME LA PLAGNE,25,118,161,
AEROPORT CDG 2 TGV ROISSY,AIX LES BAINS LE REVARD,25,103,136,
AEROPORT CDG 2 TGV ROISSY,ALBERTVILLE,25,115,154,
AEROPORT CDG 2 TGV ROISSY,ANNECY,25,104,140,
AEROPORT CDG 2 TGV ROISSY,ANNEMASSE,25,108,152,
AEROPORT CDG 2 TGV ROISSY,ANTIBES,25,132,185,
AEROPORT CDG 2 TGV ROISSY,ARRAS,15,50,61,
AEROPORT CDG 2 TGV ROISSY,AURAY,20,91,127,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,BAYONNE,25,112,147,
AEROPORT CDG 2 TGV ROISSY,BELFORT-MONTBELIARD TGV,20,97,126,
AEROPORT CDG 2 TGV ROISSY,BELLEGARDE,25,91,129,
AEROPORT CDG 2 TGV ROISSY,BESANCON FRANCHE-COMTE TGV,20,83,111,
AEROPORT CDG 2 TGV ROISSY,BOURG ST MAURICE,25,118,161,
AEROPORT CDG 2 TGV ROISSY,DOUAI,15,52,66,
AEROPORT CDG 2 TGV ROISSY,ECOLE VALENTIN,,83,111,
AEROPORT CDG 2 TGV ROISSY,EVIAN LES BAINS,25,108,152,
AEROPORT CDG 2 TGV ROISSY,FUTUROSCOPE,20,75,107,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,LANDERNEAU,20,92,131,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,LE CREUSOT MONTCEAU MONTCHANIN,20,82,114,
AEROPORT CDG 2 TGV ROISSY,LES ARCS DRAGUIGNAN,25,132,185,
AEROPORT CDG 2 TGV ROISSY,LIBOURNE,20,96,126,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,LISIEUX,15,51,63,
AEROPORT CDG 2 TGV ROISSY,MANTES LA JOLIE,,35,47,
AEROPORT CDG 2 TGV ROISSY,MARMANDE,25,108,140,
AEROPORT CDG 2 TGV ROISSY,MARSEILLE ST CHARLES,25,116,162,
AEROPORT CDG 2 TGV ROISSY,MASSY PALAISEAU,,35,47,
AEROPORT CDG 2 TGV ROISSY,MONTAUBAN VILLE BOURBON,25,109,142,
AEROPORT CDG 2 TGV ROISSY,MONTPELLIER,25,114,160,
AEROPORT CDG 2 TGV ROISSY,MORLAIX,20,91,127,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,MOUTIERS SALINS BRIDES,25,118,159,
AEROPORT CDG 2 TGV ROISSY,NANTES,20,85,122,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,NARBONNE,25,116,162,
AEROPORT CDG 2 TGV ROISSY,NICE VILLE,25,132,185,
AEROPORT CDG 2 TGV ROISSY,NIORT,20,84,118,
AEROPORT CDG 2 TGV ROISSY,PERPIGNAN,25,124,175,
AEROPORT CDG 2 TGV ROISSY,POITIERS,20,75,107,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,QUIMPER,20,95,134,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,REDON,20,84,122,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,RENNES,20,80,113,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,ROSPORDEN,20,95,134,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,ROUEN RIVE DROITE,15,40,48,
AEROPORT CDG 2 TGV ROISSY,SALLANCHES COMBLOUX MEGEVE,25,119,163,
AEROPORT CDG 2 TGV ROISSY,SAVENAY,20,85,122,
AEROPORT CDG 2 TGV ROISSY,SAVERNE,,85,124,
AEROPORT CDG 2 TGV ROISSY,SETE,25,116,162,
AEROPORT CDG 2 TGV ROISSY,ST BRIEUC,20,84,122,
AEROPORT CDG 2 TGV ROISSY,ST GERVAIS LES BAINS LE FAYET,25,119,163,
AEROPORT CDG 2 TGV ROISSY,ST JEAN DE LUZ CIBOURE,25,112,147,
AEROPORT CDG 2 TGV ROISSY,ST MALO,20,85,123,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,ST MICHEL VALLOIRE,25,113,154,
AEROPORT CDG 2 TGV ROISSY,ST NAZAIRE,25,86,125,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,ST PIERRE DES CORPS,15,65,89,
AEROPORT CDG 2 TGV ROISSY,ST RAPHAEL VALESCURE,25,132,185,
AEROPORT CDG 2 TGV ROISSY,TGV HAUTE PICARDIE,,45,50,
AEROPORT CDG 2 TGV ROISSY,THONON LES BAINS,25,108,152,
AEROPORT CDG 2 TGV ROISSY,TOULON,25,121,166,
AEROPORT CDG 2 TGV ROISSY,TOULOUSE MATABIAU,25,116,162,
AEROPORT CDG 2 TGV ROISSY,VALENCE,25,103,143,
AEROPORT CDG 2 TGV ROISSY,VALENCE TGV,25,107,147,
AEROPORT CDG 2 TGV ROISSY,VANNES,20,88,123,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY,VIERZON VILLE,20,62,78,
AEROPORT CDG2 TGV ROISSY , AURAY,20,100,140,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , FUTUROSCOPE,20,79,113,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , LANDERNEAU,20,100,142,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , LIBOURNE,20,99,133,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , MORLAIX,20,99,138,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , NANTES,20,88,127,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , POITIERS,20,79,113,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , QUIMPER,20,103,147,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , REDON,20,94,136,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , RENNES,20,93,131,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , ROSPORDEN,20,103,147,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , ST MALO,20,95,138,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , ST NAZAIRE,25,88,128,Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY , VANNES,20,97,136,Tarifs applicables aux circulations à partir du 2 juillet 2017
AGDE,BEAUNE,20,84,124,
agde,carcassonne,,20.5,31,
AGDE,CHALON SUR SAONE,,81,107,
AGDE,DOUAI,30,150,188,
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,25,75,110,
AGDE,MASSY TGV,25,116,162,
AGDE,MONTELIMAR,,39,57,
AGDE,NARBONNE,,12.6,19,
AGDE,PARIS MONTPARNASSE,25,116,162,
AGDE,SETE,,7.5,11.5,
agde,TOULOUSE MATABIAU,,36,51,
AGEN , CHATELLERAULT,,60,85,Tarifs applicables aux circulations à partir du 2 juillet 2017
AGEN , MASSY TGV,25,120,173,Tarifs applicables aux circulations à partir du 2 juillet 2017
AGEN , PARIS MONTPARNASSE 1 ET 2,25,120,173,Tarifs applicables aux circulations à partir du 2 juillet 2017
AGEN , RUFFEC CHARENTE,,45,65,Tarifs applicables aux circulations à partir du 2 juillet 2017
AGEN,AEROPORT CDG 2 TGV ROISSY,25,108,140,
AGEN,ANGOULEME,,45,65,
AGEN,ARRAS,30,144,174,
AGEN,BEAUNE,25,105,167,
AGEN,BEZIERS,15,47,72,
AGEN,BORDEAUX ST JEAN,,26,40,
AGEN,CARCASSONNE,,37,54,
AGEN,CHALON SUR SAONE,25,109,147,
AGEN,CHATELLERAULT,,58,84,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AGEN,DOUAI,30,144,174,
AGEN,FUTUROSCOPE,,60,85,
AGEN,LIBOURNE,,33,47,
AGEN,LILLE EUROPE,30,144,174,
AGEN,LYON PART DIEU,25,103,139,
AGEN,LYON ST EXUPERY,25,103,139,
AGEN,MACON VILLE,25,109,147,
AGEN,MARNE LA VALLEE CHESSY,25,108,140,
AGEN,MASSY TGV,25,108,140,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AGEN,MONTAUBAN VILLE BOURBON,,16.5,24,
AGEN,MONTPELLIER,20,55,84,
AGEN,NARBONNE,15,44,66,
AGEN,NIMES,20,56,85,
AGEN,PARIS AUSTERLITZ,25,108,140,
AGEN,PARIS MONTPARNASSE 1 ET 2,25,108,140,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AGEN,POITIERS,,58,84,
